,,,,,,,Predictions,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,,,,,,,,,,,,,
,,Class 1,439,11,39,2,20,0,8,0,21,0,,,,,,,,,,,,,
,,Class 2,0,506,12,8,14,0,0,0,0,0,,,,,,,,,,,,,
,,Class 3,5,2,412,0,109,0,1,0,11,0,,,,,,,,,,,,,
,,Class 4,14,19,16,173,42,0,1,0,5,0,,,,,,,,,,,,,
,Correct Labels,Class 5,1,4,112,2,407,0,7,0,7,0,,,,,,,,,,,,,
,,Class 6,0,3,2,0,1,71,0,10,2,1,,,,,,,,,,,,,
,,Class 7,123,20,189,4,143,0,43,0,17,1,,,,,,,,,,,,,
,,Class 8,0,0,0,0,1,1,0,530,3,5,,,,,,,,,,,,,
,,Class 9,1,1,26,9,16,0,1,3,663,0,,,,,,,,,,,,,
,,Class 10,1,1,4,0,0,14,0,68,0,452,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Class 1,Pred. Y,Pred. N,Total,,Class 2,Pred. Y,Pred. N,Total,,Class 3,Pred. Y,Pred. N,Total,,Class 4,Pred. Y,Pred. N,Total,,Class 5,Pred. Y,Pred. N,Total
,,Label Y,439,101,540,,Label Y,506,34,540,,Label Y,412,128,540,,Label Y,173,97,270,,Label Y,407,194,540
,,Label N,145,4175,4320,,Label N,59,4261,4320,,Label N,400,3920,4320,,Label N,25,4565,4590,,Label N,346,3913,4320
,,Total,584,4276,4860,,Total,565,4295,4860,,Total,812,4048,4860,,Total,198,4468,4860,,Total,753,4107,4860
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Class 6,Pred. Y,Pred. N,Total,,Class 7,Pred. Y,Pred. N,Total,,Class 8,Pred. Y,Pred. N,Total,,Class 9,Pred. Y,Pred. N,Total,,Class 10,Pred. Y,Pred. N,Total
,,Label Y,71,19,90,,Label Y,43,497,540,,Label Y,530,10,540,,Label Y,663,57,720,,Label Y,452,88,540
,,Label N,15,4755,4770,,Label N,18,4302,4320,,Label N,81,4239,4320,,Label N,66,4074,4140,,Label N,7,4313,4320
,,Total,86,4774,4860,,Total,61,4799,4860,,Total,611,4249,4860,,Total,729,4131,4860,,Total,459,4401,4860
